user_id,video_id
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,05fb7575-2071-4688-b1d7-907027f2314a
013e9527-aa06-497d-855d-f4710dbb3537,4a512aec-db39-48e4-ae3e-53681dd4bfc8
013e9527-aa06-497d-855d-f4710dbb3537,e0103978-a5f2-4c68-9186-b5fdb7195872
92a50d66-e549-4515-9f19-5c6b8658e132,05fb7575-2071-4688-b1d7-907027f2314a
90537d48-a68e-4f0b-a26e-e000215a3c2a,fd0b4d07-4f4e-4303-853f-08e4bd9ddff6
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,bb748f46-72f6-4bbf-92be-87ae78f0ffdd
90537d48-a68e-4f0b-a26e-e000215a3c2a,765b0fa8-e9b2-4dee-85d5-f8fba32f842e
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,05acab31-491b-498d-a7f6-7408baa417e6
0b0a843b-09f2-4f70-9928-8022fc3f873b,1be6f6ab-6e41-455e-b12a-c306c3a1efac
78746e9c-e8a0-420c-883b-0fe78fe4e8ba,d1dc50e4-5129-41a6-ad71-afd6bb94fa79
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,d1dc50e4-5129-41a6-ad71-afd6bb94fa79
0e802a9b-d5ec-453d-800e-219dadb83680,05fb7575-2071-4688-b1d7-907027f2314a
90537d48-a68e-4f0b-a26e-e000215a3c2a,ab0da214-fa56-4ba1-b718-f9879472d7e4
cf693a29-cead-4b4d-ac8f-e4c2ed0ee0c5,05acab31-491b-498d-a7f6-7408baa417e6
c2027b1d-600c-4499-9c70-edc54b8a0de8,d38070ab-3ab4-46c0-80f8-11f176f49a87
8c11ece9-5c7b-4072-abcf-dec2eb2d54f3,1be6f6ab-6e41-455e-b12a-c306c3a1efac
0b0a843b-09f2-4f70-9928-8022fc3f873b,ab0da214-fa56-4ba1-b718-f9879472d7e4
90537d48-a68e-4f0b-a26e-e000215a3c2a,50d4ec43-4e66-48ff-9149-d6678243815c
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,1be6f6ab-6e41-455e-b12a-c306c3a1efac
ef5b54e2-c447-4a71-a9a1-6e6051917e56,05fb7575-2071-4688-b1d7-907027f2314a
92a50d66-e549-4515-9f19-5c6b8658e132,05acab31-491b-498d-a7f6-7408baa417e6
90537d48-a68e-4f0b-a26e-e000215a3c2a,1be6f6ab-6e41-455e-b12a-c306c3a1efac
92a50d66-e549-4515-9f19-5c6b8658e132,bdd4a700-d0da-48a7-9a9b-752813bcc718
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,ab0da214-fa56-4ba1-b718-f9879472d7e4
028782b9-f8c3-41e0-8536-6fab179090e7,a4fdc120-c105-4166-99e2-cc4a55511ead
436aef8d-44f3-4dff-b7f3-ed3e8682f7b5,a4fdc120-c105-4166-99e2-cc4a55511ead
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,a4fdc120-c105-4166-99e2-cc4a55511ead
b8d26a9a-af81-4cec-abf9-1bac3101c8d0,59974664-312a-4263-a5ac-b30fcd96a543
92a50d66-e549-4515-9f19-5c6b8658e132,9b529abf-239c-4f04-9414-c38bfafcf788
f35b208b-baa9-45c5-b06d-26cef090dcfd,0af9a08c-10f2-45f7-bd50-fecc6c9634d9
90537d48-a68e-4f0b-a26e-e000215a3c2a,05fb7575-2071-4688-b1d7-907027f2314a
92a50d66-e549-4515-9f19-5c6b8658e132,1be6f6ab-6e41-455e-b12a-c306c3a1efac
c2027b1d-600c-4499-9c70-edc54b8a0de8,0af9a08c-10f2-45f7-bd50-fecc6c9634d9
c0049763-a6a3-4a81-a836-92b4f412d39a,1be6f6ab-6e41-455e-b12a-c306c3a1efac
c2027b1d-600c-4499-9c70-edc54b8a0de8,05acab31-491b-498d-a7f6-7408baa417e6
92a50d66-e549-4515-9f19-5c6b8658e132,94ac0a07-1ff5-4a55-bb38-80f4b3d915f5
92a50d66-e549-4515-9f19-5c6b8658e132,c844dcdc-0e81-4519-8137-208990ce6a0d
